날짜,공급예비력
2021-07-19-19-00-00,390000
2021-07-19-20-00-00,408000
2021-07-19-21-00-00,427000
2021-07-19-22-00-00,476000
2021-07-19-23-00-00,543000
2021-07-20-00-00-00,591000
2021-07-20-01-00-00,648000
2021-07-20-02-00-00,691000
2021-07-20-03-00-00,714000
2021-07-20-04-00-00,727000
2021-07-20-05-00-00,721000
2021-07-20-06-00-00,705000
2021-07-20-07-00-00,672000
2021-07-20-08-00-00,612000
2021-07-20-09-00-00,573000
2021-07-20-10-00-00,600000
2021-07-20-11-00-00,627000
2021-07-20-12-00-00,666000
2021-07-20-13-00-00,648000
2021-07-20-14-00-00,602000
2021-07-20-15-00-00,584000
2021-07-20-16-00-00,566000
2021-07-20-17-00-00,507000
2021-07-20-18-00-00,440000
2021-07-20-19-00-00,398000
2021-07-20-20-00-00,395000
2021-07-20-21-00-00,422000
2021-07-20-22-00-00,480000
2021-07-20-23-00-00,548000
2021-07-21-00-00-00,610000
2021-07-21-01-00-00,669000
2021-07-21-02-00-00,699000
2021-07-21-03-00-00,720000
2021-07-21-04-00-00,741000
2021-07-21-05-00-00,739000
2021-07-21-06-00-00,718000
2021-07-21-07-00-00,686000
2021-07-21-08-00-00,656000
2021-07-21-09-00-00,659000
2021-07-21-10-00-00,678000
2021-07-21-11-00-00,646000
2021-07-21-12-00-00,687000
2021-07-21-13-00-00,735000
2021-07-21-14-00-00,728000
2021-07-21-15-00-00,675000
2021-07-21-16-00-00,581000
2021-07-21-17-00-00,515000
2021-07-21-18-00-00,448000
2021-07-21-19-00-00,416000
2021-07-21-20-00-00,428000
2021-07-21-21-00-00,461000
2021-07-21-22-00-00,509000
2021-07-21-23-00-00,560000
2021-07-22-00-00-00,624000
2021-07-22-01-00-00,664000
2021-07-22-02-00-00,701000
2021-07-22-03-00-00,721000
2021-07-22-04-00-00,737000
2021-07-22-05-00-00,747000
2021-07-22-06-00-00,722000
2021-07-22-07-00-00,703000
2021-07-22-08-00-00,682000
2021-07-22-09-00-00,663000
2021-07-22-10-00-00,650000
2021-07-22-11-00-00,621000
2021-07-22-12-00-00,675000
2021-07-22-13-00-00,686000
2021-07-22-14-00-00,691000
2021-07-22-15-00-00,619000
2021-07-22-16-00-00,595000
2021-07-22-17-00-00,544000
2021-07-22-18-00-00,440000
2021-07-22-19-00-00,422000
2021-07-22-20-00-00,399000
2021-07-22-21-00-00,429000
2021-07-22-22-00-00,492000
2021-07-22-23-00-00,543000
2021-07-23-00-00-00,603000
2021-07-23-01-00-00,651000
2021-07-23-02-00-00,694000
2021-07-23-03-00-00,522000
2021-07-23-04-00-00,538000
2021-07-23-05-00-00,726000
2021-07-23-06-00-00,711000
2021-07-23-07-00-00,684000
2021-07-23-08-00-00,668000
2021-07-23-09-00-00,570000
2021-07-23-10-00-00,554000
2021-07-23-11-00-00,564000
2021-07-23-12-00-00,556000
2021-07-23-13-00-00,551000
2021-07-23-14-00-00,518000
2021-07-23-15-00-00,577000
2021-07-23-16-00-00,519000
2021-07-23-17-00-00,463000
2021-07-23-18-00-00,455000
2021-07-23-19-00-00,433000
2021-07-23-20-00-00,440000
2021-07-23-21-00-00,453000
2021-07-23-22-00-00,506000
2021-07-23-23-00-00,560000
2021-07-24-00-00-00,607000
2021-07-24-01-00-00,658000
2021-07-24-02-00-00,695000
2021-07-24-03-00-00,721000
2021-07-24-04-00-00,697000
2021-07-24-05-00-00,688000
2021-07-24-06-00-00,669000
2021-07-24-07-00-00,678000
2021-07-24-08-00-00,647000
2021-07-24-09-00-00,642000
2021-07-24-10-00-00,682000
2021-07-24-11-00-00,714000
2021-07-24-12-00-00,738000
2021-07-24-13-00-00,707000
2021-07-24-14-00-00,702000
2021-07-24-15-00-00,627000
2021-07-24-16-00-00,524000
2021-07-24-17-00-00,483000
2021-07-24-18-00-00,453000
2021-07-24-19-00-00,439000
2021-07-24-20-00-00,440000
2021-07-24-21-00-00,478000
2021-07-24-22-00-00,521000
2021-07-24-23-00-00,566000
2021-07-25-00-00-00,610000
2021-07-25-01-00-00,648000
2021-07-25-02-00-00,683000
2021-07-25-03-00-00,707000
2021-07-25-04-00-00,730000
2021-07-25-05-00-00,745000
2021-07-25-06-00-00,755000
2021-07-25-07-00-00,728000
2021-07-25-08-00-00,741000
2021-07-25-09-00-00,733000
2021-07-25-10-00-00,678000
2021-07-25-11-00-00,658000
2021-07-25-12-00-00,674000
2021-07-25-13-00-00,681000
2021-07-25-14-00-00,701000
2021-07-25-15-00-00,694000
2021-07-25-16-00-00,661000
2021-07-25-17-00-00,628000
2021-07-25-18-00-00,562000
2021-07-25-19-00-00,584000
2021-07-25-20-00-00,591000
2021-07-25-21-00-00,625000
2021-07-25-22-00-00,630000
2021-07-25-23-00-00,673000
2021-07-26-00-00-00,711000
2021-07-26-01-00-00,760000
2021-07-26-02-00-00,792000
2021-07-26-03-00-00,833000
2021-07-26-04-00-00,855000
2021-07-26-05-00-00,863000
2021-07-26-06-00-00,860000
2021-07-26-07-00-00,818000
2021-07-26-08-00-00,760000
2021-07-26-09-00-00,671000
2021-07-26-10-00-00,668000
2021-07-26-11-00-00,630000
2021-07-26-12-00-00,602000
2021-07-26-13-00-00,639000
2021-07-26-14-00-00,643000
2021-07-26-15-00-00,644000
2021-07-26-16-00-00,603000
2021-07-26-17-00-00,583000
2021-07-26-18-00-00,551000
2021-07-26-19-00-00,522000
2021-07-26-20-00-00,521000
2021-07-26-21-00-00,542000
2021-07-26-22-00-00,584000
2021-07-26-23-00-00,634000
2021-07-27-00-00-00,679000
2021-07-27-01-00-00,725000
2021-07-27-02-00-00,763000
2021-07-27-03-00-00,777000
2021-07-27-04-00-00,802000
2021-07-27-05-00-00,786000
2021-07-27-06-00-00,766000
2021-07-27-07-00-00,751000
2021-07-27-08-00-00,748000
2021-07-27-09-00-00,711000
2021-07-27-10-00-00,723000
2021-07-27-11-00-00,723000
2021-07-27-12-00-00,721000
2021-07-27-13-00-00,733000
2021-07-27-14-00-00,723000
2021-07-27-15-00-00,671000
2021-07-27-16-00-00,610000
2021-07-27-17-00-00,533000
2021-07-27-18-00-00,458000
2021-07-27-19-00-00,417000
2021-07-27-20-00-00,406000
2021-07-27-21-00-00,448000
2021-07-27-22-00-00,511000
2021-07-27-23-00-00,582000
2021-07-28-00-00-00,625000
2021-07-28-01-00-00,679000
2021-07-28-02-00-00,708000
2021-07-28-03-00-00,731000
2021-07-28-04-00-00,747000
2021-07-28-05-00-00,743000
2021-07-28-06-00-00,720000
2021-07-28-07-00-00,706000
2021-07-28-08-00-00,700000
2021-07-28-09-00-00,674000
2021-07-28-10-00-00,687000
2021-07-28-11-00-00,681000
2021-07-28-12-00-00,704000
2021-07-28-13-00-00,689000
2021-07-28-14-00-00,673000
2021-07-28-15-00-00,634000
2021-07-28-16-00-00,578000
2021-07-28-17-00-00,497000
2021-07-28-18-00-00,406000
2021-07-28-19-00-00,370000
2021-07-28-20-00-00,386000
2021-07-28-21-00-00,433000
2021-07-28-22-00-00,497000
2021-07-28-23-00-00,561000
2021-07-29-00-00-00,607000
2021-07-29-01-00-00,662000
2021-07-29-02-00-00,696000
2021-07-29-03-00-00,721000
2021-07-29-04-00-00,740000
2021-07-29-05-00-00,741000
2021-07-29-06-00-00,725000
2021-07-29-07-00-00,698000
2021-07-29-08-00-00,697000
2021-07-29-09-00-00,689000
2021-07-29-10-00-00,673000
2021-07-29-11-00-00,692000
2021-07-29-12-00-00,725000
2021-07-29-13-00-00,695000
2021-07-29-14-00-00,681000
2021-07-29-15-00-00,648000
2021-07-29-16-00-00,605000
2021-07-29-17-00-00,487000
2021-07-29-18-00-00,393000
2021-07-29-19-00-00,386000
2021-07-29-20-00-00,389000
2021-07-29-21-00-00,425000
2021-07-29-22-00-00,490000
2021-07-29-23-00-00,555000
2021-07-30-00-00-00,625000
2021-07-30-01-00-00,679000
2021-07-30-02-00-00,721000
2021-07-30-03-00-00,740000
2021-07-30-04-00-00,747000
2021-07-30-05-00-00,738000
2021-07-30-06-00-00,723000
2021-07-30-07-00-00,708000
2021-07-30-08-00-00,700000
2021-07-30-09-00-00,676000
2021-07-30-10-00-00,679000
2021-07-30-11-00-00,605000
2021-07-30-12-00-00,536000
2021-07-30-13-00-00,474000
2021-07-30-14-00-00,455000
2021-07-30-15-00-00,474000
2021-07-30-16-00-00,456000
2021-07-30-17-00-00,425000
2021-07-30-18-00-00,400000
2021-07-30-19-00-00,379000
2021-07-30-20-00-00,396000
2021-07-30-21-00-00,429000
2021-07-30-22-00-00,467000
2021-07-30-23-00-00,546000
2021-07-31-00-00-00,392000
2021-07-31-01-00-00,402000
2021-07-31-02-00-00,426000
2021-07-31-03-00-00,446000
2021-07-31-04-00-00,462000
2021-07-31-05-00-00,454000
2021-07-31-06-00-00,439000
2021-07-31-07-00-00,407000
2021-07-31-08-00-00,584000
2021-07-31-09-00-00,534000
2021-07-31-10-00-00,487000
2021-07-31-11-00-00,541000
2021-07-31-12-00-00,552000
2021-07-31-13-00-00,514000
2021-07-31-14-00-00,517000
2021-07-31-15-00-00,481000
2021-07-31-16-00-00,432000
2021-07-31-17-00-00,417000
2021-07-31-18-00-00,395000
2021-07-31-19-00-00,398000
2021-07-31-20-00-00,386000
2021-07-31-21-00-00,410000
2021-07-31-22-00-00,467000
2021-07-31-23-00-00,530000
2021-08-01-00-00-00,586000
2021-08-01-01-00-00,655000
2021-08-01-02-00-00,702000
2021-08-01-03-00-00,733000
2021-08-01-04-00-00,744000
2021-08-01-05-00-00,738000
2021-08-01-06-00-00,728000
2021-08-01-07-00-00,705000
2021-08-01-08-00-00,680000
2021-08-01-09-00-00,658000
2021-08-01-10-00-00,672000
2021-08-01-11-00-00,691000
2021-08-01-12-00-00,781000
2021-08-01-13-00-00,796000
2021-08-01-14-00-00,801000
2021-08-01-15-00-00,759000
2021-08-01-16-00-00,685000
2021-08-01-17-00-00,575000
2021-08-01-18-00-00,415000
2021-08-01-19-00-00,392000
2021-08-01-20-00-00,380000
2021-08-01-21-00-00,416000
2021-08-01-22-00-00,456000
2021-08-01-23-00-00,511000
2021-08-02-00-00-00,586000
2021-08-02-01-00-00,644000
2021-08-02-02-00-00,688000
2021-08-02-03-00-00,720000
2021-08-02-04-00-00,734000
2021-08-02-05-00-00,731000
2021-08-02-06-00-00,706000
2021-08-02-07-00-00,677000
2021-08-02-08-00-00,643000
2021-08-02-09-00-00,615000
2021-08-02-10-00-00,575000
2021-08-02-11-00-00,525000
2021-08-02-12-00-00,574000
2021-08-02-13-00-00,580000
2021-08-02-14-00-00,538000
2021-08-02-15-00-00,517000
2021-08-02-16-00-00,496000
2021-08-02-17-00-00,397000
2021-08-02-18-00-00,370000
2021-08-02-19-00-00,391000
2021-08-02-20-00-00,378000
2021-08-02-21-00-00,407000
2021-08-02-22-00-00,471000
2021-08-02-23-00-00,549000
2021-08-03-00-00-00,609000
2021-08-03-01-00-00,670000
2021-08-03-02-00-00,678000
2021-08-03-03-00-00,698000
2021-08-03-04-00-00,727000
2021-08-03-05-00-00,718000
2021-08-03-06-00-00,682000
2021-08-03-07-00-00,673000
2021-08-03-08-00-00,631000
2021-08-03-09-00-00,596000
2021-08-03-10-00-00,588000
2021-08-03-11-00-00,660000
2021-08-03-12-00-00,659000
2021-08-03-13-00-00,639000
2021-08-03-14-00-00,589000
2021-08-03-15-00-00,588000
2021-08-03-16-00-00,473000
2021-08-03-17-00-00,397000
2021-08-03-18-00-00,347000
2021-08-03-19-00-00,300000
2021-08-03-20-00-00,344000
2021-08-03-21-00-00,370000
2021-08-03-22-00-00,429000
2021-08-03-23-00-00,496000
2021-08-04-00-00-00,585000
2021-08-04-01-00-00,666000
2021-08-04-02-00-00,690000
2021-08-04-03-00-00,712000
2021-08-04-04-00-00,712000
2021-08-04-05-00-00,712000
2021-08-04-06-00-00,705000
2021-08-04-07-00-00,680000
2021-08-04-08-00-00,676000
2021-08-04-09-00-00,654000
2021-08-04-10-00-00,655000
2021-08-04-11-00-00,666000
2021-08-04-12-00-00,671000
2021-08-04-13-00-00,656000
2021-08-04-14-00-00,587000
2021-08-04-15-00-00,563000
2021-08-04-16-00-00,481000
2021-08-04-17-00-00,385000
2021-08-04-18-00-00,337000
2021-08-04-19-00-00,299000
2021-08-04-20-00-00,349000
2021-08-04-21-00-00,383000
2021-08-04-22-00-00,442000
2021-08-04-23-00-00,516000
2021-08-05-00-00-00,564000
2021-08-05-01-00-00,646000
2021-08-05-02-00-00,685000
2021-08-05-03-00-00,712000
2021-08-05-04-00-00,726000
2021-08-05-05-00-00,713000
2021-08-05-06-00-00,691000
2021-08-05-07-00-00,660000
2021-08-05-08-00-00,639000
2021-08-05-09-00-00,592000
2021-08-05-10-00-00,605000
2021-08-05-11-00-00,616000
2021-08-05-12-00-00,605000
2021-08-05-13-00-00,578000
2021-08-05-14-00-00,580000
2021-08-05-15-00-00,557000
2021-08-05-16-00-00,469000
2021-08-05-17-00-00,375000
2021-08-05-18-00-00,318000
2021-08-05-19-00-00,285000
2021-08-05-20-00-00,313000
2021-08-05-21-00-00,356000
2021-08-05-22-00-00,422000
2021-08-05-23-00-00,496000
2021-08-06-00-00-00,560000
2021-08-06-01-00-00,626000
2021-08-06-02-00-00,659000
2021-08-06-03-00-00,687000
2021-08-06-04-00-00,703000
2021-08-06-05-00-00,706000
2021-08-06-06-00-00,695000
2021-08-06-07-00-00,680000
2021-08-06-08-00-00,666000
2021-08-06-09-00-00,619000
2021-08-06-10-00-00,631000
2021-08-06-11-00-00,642000
2021-08-06-12-00-00,632000
2021-08-06-13-00-00,624000
2021-08-06-14-00-00,611000
2021-08-06-15-00-00,576000
2021-08-06-16-00-00,494000
2021-08-06-17-00-00,401000
2021-08-06-18-00-00,316000
2021-08-06-19-00-00,302000
2021-08-06-20-00-00,336000
2021-08-06-21-00-00,364000
2021-08-06-22-00-00,425000
2021-08-06-23-00-00,511000
2021-08-07-00-00-00,568000
2021-08-07-01-00-00,610000
2021-08-07-02-00-00,651000
2021-08-07-03-00-00,688000
2021-08-07-04-00-00,702000
2021-08-07-05-00-00,704000
2021-08-07-06-00-00,683000
2021-08-07-07-00-00,673000
2021-08-07-08-00-00,696000
2021-08-07-09-00-00,692000
2021-08-07-10-00-00,686000
2021-08-07-11-00-00,680000
2021-08-07-12-00-00,673000
2021-08-07-13-00-00,631000
2021-08-07-14-00-00,601000
